match,item?,attributes
FORALL_1,1,""
FORALL_2,1,""
FORALL_3,1,""
SUM_1,1,""
SUM_2,1,""
SUM_3,1,""
vector_add,0,""
vector_sub,0,""
vector_neg,0,""
vector_mul,0,""
vec,0,""
dot,0,""
DOT_1,1,"dot,dot,SUM_1,"
DOT_2,1,"dot,dot,SUM_2,"
DOT_3,1,"dot,dot,SUM_3,"
VEC_COMPONENT,1,"vec,vec,"
VECTOR_ADD_COMPONENT,1,"vector_add,"
VECTOR_SUB_COMPONENT,1,"vector_sub,"
VECTOR_NEG_COMPONENT,1,"vector_neg,"
VECTOR_MUL_COMPONENT,1,"vector_mul,"
COND_COMPONENT,1,""
VECTOR_ADD_SYM,0,""
VECTOR_ADD_LID,0,""
VECTOR_ADD_RID,0,""
VECTOR_SUB_REFL,0,""
VECTOR_ADD_LINV,0,""
VECTOR_ADD_RINV,0,""
VECTOR_SUB_RADD,0,""
VECTOR_NEG_SUB,0,""
VECTOR_SUB_EQ,0,""
VECTOR_MUL_ASSOC,0,""
VECTOR_MUL_LID,0,""
VECTOR_MUL_LZERO,0,""
VECTOR_SUB_ADD,0,""
VECTOR_SUB_ADD2,0,""
VECTOR_ADD_LDISTRIB,0,""
VECTOR_SUB_LDISTRIB,0,""
VECTOR_ADD_RDISTRIB,0,""
VECTOR_SUB_RDISTRIB,0,""
VECTOR_ADD_SUB,0,""
VECTOR_EQ_ADDR,0,""
VECTOR_SUB,0,""
VECTOR_SUB_RZERO,0,""
VECTOR_MUL_RZERO,0,""
VECTOR_NEG_MINUS1,0,""
VECTOR_ADD_ASSOC,0,""
VECTOR_SUB_LZERO,0,""
VECTOR_NEG_NEG,0,""
VECTOR_MUL_LNEG,0,""
VECTOR_MUL_RNEG,0,""
VECTOR_NEG_0,0,""
VECTOR_NEG_EQ_0,0,""
VECTOR_ADD_AC,0,""
VEC_EQ,1,"vec,vec,VEC_COMPONENT,"
EUCLIDEAN_SPACE_INFINITE,1,"vec,VEC_EQ,"
DOT_SYM,0,""
DOT_LADD,0,""
DOT_RADD,0,""
DOT_LSUB,0,""
DOT_RSUB,0,""
DOT_LMUL,0,""
DOT_RMUL,0,""
DOT_LNEG,0,""
DOT_RNEG,0,""
DOT_LZERO,0,""
DOT_RZERO,0,""
DOT_POS_LE,1,"dot,dot,"
DOT_EQ_0,1,"dot,vec,DOT_LZERO,dot,vec,"
DOT_POS_LT,1,"dot,vec,DOT_POS_LE,DOT_EQ_0,"
FORALL_DOT_EQ_0,1,"dot,vec,dot,vec,DOT_LZERO,DOT_RZERO,DOT_EQ_0,"
vector_norm,0,""
FORALL_DIMINDEX_1,1,""
VECTOR_ONE,1,""
FORALL_REAL_ONE,1,"VECTOR_ONE,"
NORM_REAL,1,"vector_norm,dot,"
dist,0,""
DIST_REAL,1,"dist,dist,NORM_REAL,vector_sub,"
CONNECTED_REAL_LEMMA,1,"dist,dist,dist,"
SQUARE_BOUND_LEMMA,1,""
SQUARE_CONTINUOUS,1,"SQUARE_BOUND_LEMMA,"
SQRT_WORKS,1,"CONNECTED_REAL_LEMMA,DIST_REAL,FORALL_REAL_ONE,SQUARE_BOUND_LEMMA,SQUARE_CONTINUOUS,"
SQRT_POS_LE,1,"SQRT_WORKS,"
SQRT_POW_2,1,"SQRT_WORKS,"
SQRT_MUL,1,"SQRT_WORKS,"
SQRT_INV,1,"SQRT_WORKS,"
SQRT_DIV,1,"SQRT_MUL,SQRT_INV,"
SQRT_POW2,1,"SQRT_POW_2,"
SQRT_MONO_LT,1,"SQRT_WORKS,"
SQRT_MONO_LE,1,"SQRT_MONO_LT,"
SQRT_MONO_LT_EQ,1,"SQRT_MONO_LT,SQRT_MONO_LE,"
SQRT_MONO_LE_EQ,1,"SQRT_MONO_LT,SQRT_MONO_LE,"
SQRT_INJ,1,"SQRT_MONO_LE_EQ,"
SQRT_LT_0,1,"SQRT_MONO_LT_EQ,"
SQRT_EQ_0,1,"SQRT_INJ,"
SQRT_POS_LT,1,"SQRT_POS_LE,SQRT_EQ_0,"
REAL_LE_LSQRT,1,"SQRT_MONO_LE,"
REAL_LE_RSQRT,1,"SQRT_MONO_LE,SQRT_POS_LE,"
REAL_LT_LSQRT,1,"SQRT_MONO_LT,"
REAL_LT_RSQRT,1,"SQRT_MONO_LT,"
SQRT_EVEN_POW2,1,""
REAL_DIV_SQRT,1,"SQRT_POS_LT,SQRT_POW_2,"
REAL_RSQRT_LE,1,"SQRT_POW_2,"
REAL_LSQRT_LE,1,"SQRT_POS_LE,SQRT_POW_2,"
NORM_0,1,"vec,vector_norm,DOT_LZERO,"
NORM_POS_LE,1,"DOT_POS_LE,vector_norm,SQRT_POS_LE,"
NORM_NEG,1,"vector_norm,DOT_LNEG,DOT_RNEG,"
NORM_SUB,1,"NORM_NEG,VECTOR_NEG_SUB,"
NORM_MUL,1,"vector_norm,DOT_LMUL,DOT_RMUL,SQRT_MUL,SQRT_POS_LE,DOT_POS_LE,"
NORM_EQ_0_DOT,1,"dot,vector_norm,SQRT_EQ_0,DOT_POS_LE,"
NORM_EQ_0,1,"vec,vector_norm,DOT_EQ_0,SQRT_EQ_0,DOT_POS_LE,"
NORM_POS_LT,1,"vec,NORM_POS_LE,NORM_EQ_0,"
NORM_POW_2,1,"dot,vector_norm,SQRT_POW_2,DOT_POS_LE,"
NORM_EQ_0_IMP,1,"vec,NORM_EQ_0,"
NORM_LE_0,1,"vec,NORM_EQ_0,NORM_POS_LE,"
VECTOR_MUL_EQ_0,1,"vec,vec,NORM_EQ_0,NORM_MUL,"
VECTOR_MUL_LCANCEL,1,"VECTOR_MUL_EQ_0,VECTOR_SUB_LDISTRIB,VECTOR_SUB_EQ,"
VECTOR_MUL_RCANCEL,1,"vec,VECTOR_MUL_EQ_0,VECTOR_SUB_RDISTRIB,VECTOR_SUB_EQ,"
VECTOR_MUL_LCANCEL_IMP,1,"VECTOR_MUL_LCANCEL,"
VECTOR_MUL_RCANCEL_IMP,1,"vec,VECTOR_MUL_RCANCEL,"
NORM_CAUCHY_SCHWARZ,1,"dot,NORM_EQ_0_IMP,DOT_LZERO,DOT_RZERO,DOT_POS_LE,DOT_RSUB,DOT_LSUB,DOT_LMUL,DOT_RMUL,NORM_POW_2,DOT_SYM,NORM_POS_LE,"
NORM_CAUCHY_SCHWARZ_ABS,1,"dot,NORM_CAUCHY_SCHWARZ,DOT_RNEG,NORM_NEG,"
REAL_ABS_NORM,1,"NORM_POS_LE,"
NORM_CAUCHY_SCHWARZ_DIV,1,"dot,vec,vec,NORM_0,DOT_LZERO,DOT_RZERO,NORM_POS_LT,REAL_ABS_NORM,NORM_CAUCHY_SCHWARZ_ABS,"
NORM_TRIANGLE,1,"vector_norm,REAL_LE_LSQRT,vector_norm,DOT_POS_LE,NORM_POS_LE,DOT_LADD,DOT_RADD,NORM_POW_2,NORM_CAUCHY_SCHWARZ,DOT_SYM,"
NORM_TRIANGLE_SUB,1,"NORM_TRIANGLE,VECTOR_SUB_ADD2,"
